id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
131,All India,Urban,UPS (VI-VIII),Ministry of Labor,0,0,0,0,0,0,0,0,0,0,0,0,34,0,28,0,34,0,0,0,0,0,0,0,0,0
132,All India,Rural,HSS (I-XII),Other Central Govt. Schools,241,249,682,816,655,854,736,856,748,888,725,864,798,929,748,872,728,872,741,936,681,841,717,823,603,594
133,All India,Urban,HSS (I-XII),Other Central Govt. Schools,492,606,805,1052,817,1270,933,1361,983,1395,978,1415,1119,1544,1119,1557,1038,1627,1138,1725,1087,1899,1077,1087,987,1223
134,All India,Rural,HSS (IX-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,105,104,91,59,52,30
135,All India,Rural,HSS (VI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,103,215,83,193,94,167,62,212,98,190,193,334,68,97
136,All India,Urban,HSS (VI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,52,104,69,360,98,340,75,347,98,453,107,529,116,653,113,630
137,All India,Rural,HSS (XI-XII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,27,24
138,All India,Rural,PS (I-V),Other Central Govt. Schools,10,13,39,88,58,95,71,95,56,72,60,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,All India,Urban,PS (I-V),Other Central Govt. Schools,37,38,134,168,136,170,170,174,166,195,71,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,All India,Rural,SS (I-X),Other Central Govt. Schools,69,94,332,360,314,381,326,350,324,376,386,364,336,375,343,360,344,352,316,369,293,337,0,0,0,0
141,All India,Urban,SS (I-X),Other Central Govt. Schools,190,203,597,661,606,732,656,760,718,881,694,847,694,857,699,815,643,770,638,789,558,696,0,0,0,0
142,All India,Urban,SS (IX-X),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,35,58,37,55,36,0,0,0,0
143,All India,Rural,SS (VI-X),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,1,0,36,56,25,42,27,57,26,37,17,17,0,0,0,0
144,All India,Rural,UPS (I-VIII),Other Central Govt. Schools,0,0,94,109,73,88,81,116,93,98,68,109,63,106,72,106,79,118,0,0,0,0,0,0,0,0
145,All India,Urban,UPS (I-VIII),Other Central Govt. Schools,0,0,94,137,96,119,107,102,117,90,111,95,93,76,81,90,20,26,0,0,0,0,0,0,0,0
146,All India,Rural,UPS (VI-VIII),Other Central Govt. Schools,0,0,0,0,0,0,0,0,0,0,0,0,26,25,30,30,34,34,0,0,0,0,0,0,0,0
147,All India,Rural,HSS (I-XII),Other Govt. managed schools,2611,2629,2921,2914,3580,3614,3342,3348,3453,3411,5564,5651,6128,6049,6105,5894,6394,5796,8286,7996,7560,6603,6443,5304,4342,3827
148,All India,Urban,HSS (I-XII),Other Govt. managed schools,756,670,446,510,535,475,584,532,624,632,719,827,947,925,912,973,909,960,978,1372,975,1090,904,931,672,672
149,All India,Rural,HSS (IX-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1,14,3,6
150,All India,Urban,HSS (IX-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,141,107,182,659,298,701,323
151,All India,Rural,HSS (VI-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,18816,18343,22879,22410,22019,20571,23464,19989,29446,21969,26361,15864,32399,14184,23247,10783
152,All India,Urban,HSS (VI-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,1298,1513,1610,2036,1690,1902,1821,1959,2042,2109,2047,1733,2576,1819,1762,1396
153,All India,Rural,HSS (XI-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10659,14450,8536,11621
154,All India,Urban,HSS (XI-XII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21930,19099,19098,16246
155,All India,Rural,PS (I-V),Other Govt. managed schools,131,199,437,583,461,536,460,528,476,526,101,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,All India,Urban,PS (I-V),Other Govt. managed schools,218,280,354,521,300,433,329,473,314,419,197,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,All India,Rural,SS (I-X),Other Govt. managed schools,993,1159,851,993,1021,1111,948,1032,1013,1019,1288,1393,1357,1632,1383,1446,1413,1502,1758,2217,1446,1647,0,0,0,0
158,All India,Urban,SS (I-X),Other Govt. managed schools,107,149,106,256,108,294,112,262,95,271,118,272,94,282,84,288,95,301,86,286,75,236,0,0,0,0
159,All India,Rural,SS (IX-X),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,74,105,72,128,0,0,0,0
160,All India,Urban,SS (IX-X),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,135,88,159,112,168,0,0,0,0
161,All India,Rural,SS (VI-X),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,4871,4406,6896,6103,7340,5992,7286,5928,8832,6448,6713,4338,0,0,0,0
162,All India,Urban,SS (VI-X),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,367,196,1552,1243,1591,1301,1630,1316,1555,1333,1147,785,0,0,0,0
163,All India,Rural,UPS (I-VIII),Other Govt. managed schools,267,317,375,533,363,512,403,495,479,494,518,492,668,414,649,380,591,307,0,0,0,0,0,0,0,0
164,All India,Urban,UPS (I-VIII),Other Govt. managed schools,154,216,296,465,239,347,302,425,290,418,254,412,354,437,341,391,359,351,0,0,0,0,0,0,0,0
165,All India,Rural,UPS (VI-VIII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,1810,678,3126,1033,3268,1111,3941,1050,0,0,0,0,0,0,0,0
166,All India,Urban,UPS (VI-VIII),Other Govt. managed schools,0,0,0,0,0,0,0,0,0,0,34,44,383,375,415,417,434,454,0,0,0,0,0,0,0,0
167,All India,Rural,HSS (I-XII),Private Unaided (Recognized),293811,365481,332476,433029,333929,440613,338994,454957,337748,461487,337723,469400,339626,479563,339906,483435,346619,496186,411819,599595,409942,613314,406633,586065,387320,541020
168,All India,Urban,HSS (I-XII),Private Unaided (Recognized),527511,601490,486631,578093,489684,586906,512981,621346,521856,642636,534939,666730,539694,683573,545863,693088,554548,714919,600046,790286,600782,801452,585173,780364,559817,725446
169,All India,Rural,HSS (IX-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,986,269503,289911,252272,286247,274146,310599,254672,269915
170,All India,Urban,HSS (IX-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,1344,74582,87934,70654,88948,84545,105778,77489,94488
171,All India,Rural,HSS (VI-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,1064,1234,87822,107014,90121,109437,106899,129461,239863,288586,220513,278640,240833,299786,223640,262038
172,All India,Urban,HSS (VI-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,1960,1944,26972,33390,28316,36167,44689,56984,70997,90757,68147,90584,78961,102953,75078,95422
173,All India,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311084,356586,304725,351290
174,All India,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459898,506860,449483,491314
175,All India,Rural,PS (I-V),Private Unaided (Recognized),279697,331672,616507,757123,565154,692776,557750,685389,529449,655005,470107,583133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,All India,Urban,PS (I-V),Private Unaided (Recognized),199153,221422,333717,389119,317975,371835,318439,374303,304471,360293,222694,268355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,All India,Rural,SS (I-X),Private Unaided (Recognized),259215,310639,298232,373474,298186,373584,302189,385516,298004,385691,289917,380140,278019,368373,268286,356654,261938,349172,271806,364297,257527,354093,0,0,0,0
178,All India,Urban,SS (I-X),Private Unaided (Recognized),306071,357744,370915,436288,376172,444636,398232,475474,403467,490500,420257,513736,404013,500188,399220,495865,398499,491545,391988,487450,385199,482085,0,0,0,0
179,All India,Rural,SS (IX-X),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690,10666,171171,193374,170767,201384,0,0,0,0
180,All India,Urban,SS (IX-X),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17235,20330,62381,73053,61557,72713,0,0,0,0
181,All India,Rural,SS (VI-X),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,1162,1737,87126,111717,90059,112686,114020,140837,181857,223206,169864,218365,0,0,0,0
182,All India,Urban,SS (VI-X),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,836,769,48691,63280,51418,63935,93138,116429,101654,125336,102603,128177,0,0,0,0
183,All India,Rural,UPS (I-VIII),Private Unaided (Recognized),413132,529027,610748,801411,572153,749352,570689,758756,539526,727779,503599,686228,449737,618519,412190,563370,356970,480767,0,0,0,0,0,0,0,0
184,All India,Urban,UPS (I-VIII),Private Unaided (Recognized),376479,448447,535052,652706,506128,616540,525097,643208,511047,632217,486164,606389,449538,564615,424180,531998,319157,402604,0,0,0,0,0,0,0,0
185,All India,Rural,UPS (VI-VIII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,7862,9420,200402,225342,203299,225093,219149,240545,0,0,0,0,0,0,0,0
186,All India,Urban,UPS (VI-VIII),Private Unaided (Recognized),0,0,0,0,0,0,0,0,0,0,1610,1645,50414,57114,50028,56815,52422,59348,0,0,0,0,0,0,0,0
187,All India,Rural,HSS (I-XII),Railway School,0,0,85,90,119,136,123,140,158,184,168,196,224,208,265,225,240,196,275,204,235,204,269,196,220,185
188,All India,Urban,HSS (I-XII),Railway School,203,257,740,865,654,775,803,920,794,929,864,1016,905,1131,1014,1205,1035,1279,1118,1252,999,1154,1027,976,940,947
189,All India,Urban,HSS (IX-XII),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,46,70,54,59,46,48
190,All India,Rural,HSS (VI-XII),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,162,267,172,225,170,283,177,264,188,265,212,150,167,131
191,All India,Urban,HSS (VI-XII),Railway School,0,0,0,0,0,0,0,0,0,0,40,39,35,53,56,83,66,134,102,152,74,162,98,150,103,166
192,All India,Urban,HSS (XI-XII),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,All India,Rural,PS (I-V),Railway School,0,0,92,92,113,86,126,124,119,136,74,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,All India,Urban,PS (I-V),Railway School,17,26,68,98,87,97,106,96,93,97,84,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,All India,Rural,SS (I-X),Railway School,0,0,74,61,57,59,85,44,91,48,65,64,86,63,95,57,108,70,83,81,75,52,0,0,0,0
196,All India,Urban,SS (I-X),Railway School,33,40,174,175,144,150,188,222,185,270,199,289,198,356,169,349,200,314,163,339,162,300,0,0,0,0
197,All India,Rural,SS (IX-X),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,16,19,0,0,0,0
198,All India,Urban,SS (VI-X),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,90,119,87,105,87,110,71,98,54,71,0,0,0,0
199,All India,Rural,UPS (I-VIII),Railway School,0,0,0,0,0,0,18,23,13,25,12,21,14,15,15,23,21,14,0,0,0,0,0,0,0,0
200,All India,Urban,UPS (I-VIII),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,0,0,0,0,0,0,0
201,All India,Urban,UPS (VI-VIII),Railway School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,All India,Rural,HSS (I-XII),Sainik School,98,108,66,83,111,147,113,129,105,146,134,194,151,318,134,391,149,313,149,379,149,332,71,215,97,144
203,All India,Urban,HSS (I-XII),Sainik School,35,60,624,806,641,858,717,926,812,972,783,1076,768,1052,665,983,690,903,682,901,614,740,486,533,390,514
204,All India,Rural,HSS (VI-XII),Sainik School,0,0,0,0,0,0,0,0,0,0,0,0,166,1213,39,1168,19,1361,14,1323,7,1284,9,1009,27,950
205,All India,Urban,HSS (VI-XII),Sainik School,0,0,0,0,0,0,0,0,0,0,0,0,172,919,127,1088,159,1112,160,1096,154,1133,179,953,159,801
206,All India,Urban,PS (I-V),Sainik School,109,125,106,107,98,100,128,107,124,110,102,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,All India,Rural,SS (I-X),Sainik School,0,0,31,31,29,43,28,43,32,47,44,39,33,36,26,41,42,47,25,37,24,30,0,0,0,0
208,All India,Urban,SS (I-X),Sainik School,0,0,11,17,17,22,16,22,19,29,14,16,14,29,22,11,13,23,13,15,8,16,0,0,0,0
209,All India,Rural,SS (VI-X),Sainik School,0,0,0,0,0,0,0,0,0,0,0,0,11,132,0,126,0,130,0,168,0,103,0,0,0,0
210,All India,Urban,UPS (I-VIII),Sainik School,48,42,20,33,20,28,30,18,21,24,27,14,13,32,17,16,14,11,0,0,0,0,0,0,0,0
211,All India,Rural,UPS (VI-VIII),Sainik School,0,0,0,0,0,0,0,0,0,0,0,0,20,66,29,172,23,174,0,0,0,0,0,0,0,0
212,All India,Rural,HSS (I-XII),Social welfare Department,0,3,57,197,57,212,75,234,77,252,9882,4928,10476,5892,11004,6112,11121,6215,11129,6088,11013,5991,10560,4695,10255,4563
213,All India,Urban,HSS (I-XII),Social welfare Department,43,56,260,107,194,97,197,131,209,142,3951,2120,4151,2456,4271,2579,4369,2657,4400,2732,4344,2658,3950,2195,3768,2078
214,All India,Rural,HSS (IX-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,333,159,336,75,211,29,149
215,All India,Urban,HSS (IX-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,674,275,631,254,392,248,219
216,All India,Rural,HSS (VI-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,2353,2928,2415,3000,2397,2953,2502,3124,2448,2908,2229,2547,2055,2109
217,All India,Urban,HSS (VI-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,327,112,317,122,311,147,453,248,465,260,585,523,550,388
218,All India,Rural,HSS (XI-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,1400,2044,1399
219,All India,Urban,HSS (XI-XII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,228,679,199
220,All India,Rural,PS (I-V),Social welfare Department,232,276,1509,1609,1651,1547,1913,1700,1991,1807,1804,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,All India,Urban,PS (I-V),Social welfare Department,42,70,560,751,577,623,688,749,707,764,664,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,All India,Rural,SS (I-X),Social welfare Department,1,2,284,805,279,698,263,737,288,755,3987,3655,4311,3931,4646,4398,4684,4404,4484,4245,4332,4076,0,0,0,0
223,All India,Urban,SS (I-X),Social welfare Department,17,20,204,153,209,140,231,177,289,192,1816,1015,2233,1184,2236,1248,2276,1319,2268,1306,2305,1335,0,0,0,0
224,All India,Rural,SS (IX-X),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,34,161,0,0,0,0
225,All India,Urban,SS (IX-X),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,42,0,0,0,0
226,All India,Rural,SS (VI-X),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,6584,6142,6937,6186,7580,6563,7262,6606,6901,6285,0,0,0,0
227,All India,Urban,SS (VI-X),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,1949,1541,2126,1736,2223,1962,2160,1904,1817,1445,0,0,0,0
228,All India,Rural,UPS (I-VIII),Social welfare Department,6,9,268,393,252,356,398,583,423,705,492,797,601,1083,669,1209,518,1065,0,0,0,0,0,0,0,0
229,All India,Urban,UPS (I-VIII),Social welfare Department,26,84,176,265,156,243,203,308,212,331,168,350,245,433,243,472,266,447,0,0,0,0,0,0,0,0
230,All India,Rural,UPS (VI-VIII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,555,273,513,270,514,243,0,0,0,0,0,0,0,0
231,All India,Urban,UPS (VI-VIII),Social welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,228,252,243,272,215,258,0,0,0,0,0,0,0,0
232,All India,Rural,HSS (I-XII),Tribal Welfare Department,152,206,3714,3466,3227,3158,4274,3980,4520,4252,7236,6350,12503,12618,12846,13152,14430,14566,20990,22434,20419,21364,25409,25372,20633,18715
233,All India,Urban,HSS (I-XII),Tribal Welfare Department,58,50,782,549,520,289,795,527,754,498,1546,873,2726,1257,2781,1261,3476,1385,6044,2669,5894,2426,8459,3305,6596,2275
234,All India,Rural,HSS (IX-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17268,19404,16969,18687,21361,22237,15315,14669
235,All India,Urban,HSS (IX-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724,3260,3625,3022,4979,5058,3838,3867
236,All India,Rural,HSS (VI-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,232,188,14734,13472,14603,13082,14986,13910,20463,20307,20562,19468,21817,21243,17373,15253
237,All India,Urban,HSS (VI-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,24,15,3414,2961,3629,3057,3367,3319,5589,5440,5623,5507,7150,8227,5306,5558
238,All India,Rural,HSS (XI-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5703,4992,5378,5034
239,All India,Urban,HSS (XI-XII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,572,1103,528
240,All India,Rural,PS (I-V),Tribal Welfare Department,2480,2468,119797,121914,107315,107018,114896,112765,104080,102447,101464,98842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,All India,Urban,PS (I-V),Tribal Welfare Department,38,136,3592,3804,3038,3135,3710,4101,3853,4006,4082,4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,All India,Rural,SS (I-X),Tribal Welfare Department,367,352,8035,8099,8090,7756,12495,12036,13885,13376,20827,20190,34496,34261,33577,33664,35178,34534,39166,38291,36196,34164,0,0,0,0
243,All India,Urban,SS (I-X),Tribal Welfare Department,3,2,434,486,341,331,815,664,924,733,1709,1405,2471,2233,2492,2278,2846,2477,3022,2574,2717,2456,0,0,0,0
244,All India,Rural,SS (IX-X),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12980,13232,11900,11532,0,0,0,0
245,All India,Urban,SS (IX-X),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,419,375,481,0,0,0,0
246,All India,Rural,SS (VI-X),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,52,25062,20526,24943,19887,28547,22139,30913,24623,30075,22543,0,0,0,0
247,All India,Urban,SS (VI-X),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,3974,3337,4278,3533,4441,3695,4196,3614,3582,3069,0,0,0,0
248,All India,Rural,UPS (I-VIII),Tribal Welfare Department,2087,2146,36484,36591,34342,33156,42633,41526,43807,42825,47430,46770,76903,77067,69533,70163,65715,67247,0,0,0,0,0,0,0,0
249,All India,Urban,UPS (I-VIII),Tribal Welfare Department,68,64,1702,1650,1205,1139,1866,1698,1921,1756,2203,1967,3036,3091,2801,2721,2812,3011,0,0,0,0,0,0,0,0
250,All India,Rural,UPS (VI-VIII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,25563,25939,23533,23552,22342,22992,0,0,0,0,0,0,0,0
251,All India,Urban,UPS (VI-VIII),Tribal Welfare Department,0,0,0,0,0,0,0,0,0,0,0,0,2263,1844,2137,1775,2035,1846,0,0,0,0,0,0,0,0
252,All India,Rural,HSS (I-XII),Unrecognized,1063,1303,1564,1722,1311,1568,1244,1519,1333,1545,1234,1535,1238,1468,1017,1433,1215,1437,921,1166,884,1158,577,550,696,658
253,All India,Urban,HSS (I-XII),Unrecognized,489,580,919,1098,809,1016,820,1060,783,978,839,1120,778,1058,718,981,754,1044,485,671,506,633,485,617,274,480
254,All India,Rural,HSS (IX-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,336,418,388,479,332,454,298,410
255,All India,Urban,HSS (IX-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,444,231,424,92,202,92,202
256,All India,Rural,HSS (VI-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,76,99,85,90,81,88,69,89,71,82,43,72,40,65
257,All India,Urban,HSS (VI-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,14,18,38,253,37,56,42,74,8,75,97,135,6,35,7,26
258,All India,Rural,HSS (XI-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8087,6836,5756,5418
259,All India,Urban,HSS (XI-XII),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,1497,1247,1221
260,All India,Rural,PS (I-V),Unrecognized,60502,76195,62141,74905,51454,61467,46366,54882,41423,48859,31824,37296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,All India,Urban,PS (I-V),Unrecognized,25161,29898,19615,23461,16759,19424,15303,17738,13772,16054,7669,8981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,All India,Rural,SS (I-X),Unrecognized,6609,8218,6691,8635,6079,7678,6114,7903,5982,7927,5912,7653,6183,7787,6281,7879,6826,8305,5898,7393,5745,6867,0,0,0,0
263,All India,Urban,SS (I-X),Unrecognized,2166,2648,2717,3231,2505,3152,2632,3302,2644,3318,2753,3504,2903,3499,2826,3565,3026,3671,2775,3323,2475,3118,0,0,0,0
264,All India,Rural,SS (IX-X),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12262,11231,11793,10748,0,0,0,0
265,All India,Urban,SS (IX-X),Unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,1183,1415,1406,0,0,0,0
266,All India,Rural,SS (VI-X),Unrecognized,0,0,0,0,0,0,0,0,0,0,34,34,1026,1104,1398,1592,1941,2148,3148,3296,3121,3156,0,0,0,0
267,All India,Urban,SS (VI-X),Unrecognized,0,0,0,0,0,0,0,0,0,0,35,0,295,676,381,326,582,532,719,550,798,556,0,0,0,0
268,All India,Rural,UPS (I-VIII),Unrecognized,93732,129424,103386,140708,85248,117214,81045,110408,74855,102672,69570,94159,61947,82874,55285,72755,47764,62556,0,0,0,0,0,0,0,0
269,All India,Urban,UPS (I-VIII),Unrecognized,37344,46910,40206,51281,35863,45485,36355,46332,35230,44529,33615,43007,31177,39123,28999,35619,25216,30264,0,0,0,0,0,0,0,0
270,All India,Rural,UPS (VI-VIII),Unrecognized,0,0,0,0,0,0,0,0,0,0,183,270,4157,3975,4146,4021,3950,3687,0,0,0,0,0,0,0,0
271,All India,Urban,UPS (VI-VIII),Unrecognized,0,0,0,0,0,0,0,0,0,0,148,169,447,363,412,373,366,266,0,0,0,0,0,0,0,0
